,infestation_level,sample_date,x,y,sample_id
0,Moderate,2020-12-01,-118.0638211,34.04649836,4dc7a7a9-e511-43c5-be3b-f2ee49bc8cdf
1,Heavy,2020-12-01,-118.0637685,34.04620443,4fb79116-c572-43b7-a4a3-df8bb6478ef1
2,Low,2020-12-01,-118.063848,34.04588088,b5b0a281-5494-4463-9f49-7a87d79281c6
3,Heavy,2020-12-01,-118.0636258,34.04651819,c9932012-5aae-43dc-b797-d53e9cc25085
4,Severe,2020-12-01,-118.0636605,34.04648689,63864f90-7993-4c04-b74a-4d792be49423
5,Heavy,2020-12-01,-118.0636195,34.04636368,570a7294-8e0c-4626-bf08-4d9c6a6769c4
6,Severe,2020-12-01,-118.0635823,34.04626527,cbc5da2c-fa07-43e8-8a73-f704f60cb0e8
7,Severe,2020-12-01,-118.0635428,34.04618806,d1d67250-6072-4f06-8c12-d89e6b671757
8,Heavy,2020-12-08,-118.0636507,34.04603413,d053bd46-cdc1-45db-b126-273d0b93397f
9,Moderate,2020-12-08,-118.0636351,34.04590996,535392e7-380f-493b-adbc-cae659b7a301
10,Severe,2020-12-08,-118.0635555,34.04586442,05e73f23-7bf5-4dfa-a6b1-dfffce08d2f8
11,Severe,2020-12-08,-118.063634,34.04581154,c0f849c2-9782-4e8f-baad-edc8af51a4bd
12,Moderate,2020-12-08,-118.0636725,34.04572706,7d7d492a-31fe-42e0-9c94-d718983c529b
13,Heavy,2020-12-08,-118.0635684,34.04551984,ccfd321b-6b44-40ee-92ed-ba7b70ceddf4
14,Heavy,2020-12-08,-118.0636087,34.04543321,a1f91981-d362-4daa-933e-8877852e760a
15,Severe,2020-12-08,-118.0636265,34.04539372,e7aeeb86-bf86-42ea-9998-51fcf0de7d13
16,Heavy,2020-12-08,-118.0636448,34.04524223,7ddf2af8-2621-4474-918b-528903cdee45
17,Low,2020-12-08,-118.0631979,34.04543284,9dd099d2-de8e-4957-a972-9dcb39a49015
18,Low,2020-12-09,-118.0637249,34.04465508,0acb7225-e60b-41aa-9ae2-a02ad70b959b
19,Moderate,2020-12-09,-118.0636557,34.04441257,d757e049-f87c-4393-94d5-dfb1efaeca21
20,Moderate,2020-12-10,-118.0634247,34.04452191,901f97ae-f056-4477-a69c-6d8cc9ec5888
21,Moderate,2020-12-10,-118.0633745,34.04453955,b71f8f34-2ba8-4169-8304-dc287d80789a
22,Severe,2020-12-10,-118.0637541,34.04404243,322cbf90-b4e0-43cc-9b5f-8c1c7a5a24ce
23,Heavy,2020-12-10,-118.0629124,34.04509782,739c82a3-91b7-4e55-83e3-2419179e9351
24,Moderate,2020-12-10,-118.0628551,34.04501273,2a53f052-8ba3-43fe-a06e-d09d8219da20
25,Moderate,2020-12-10,-118.0628279,34.04511526,b9673d94-7273-4145-9ba7-b4d842c6e0a0
26,Moderate,2020-12-15,-118.0631589,34.04466498,1e154c1f-6fb1-41f1-a2af-9fa82dfc78d2
27,Low,2020-12-15,-118.0630512,34.04462862,d4567117-3173-45b6-b23c-6b0ff82c8210
28,Severe,2020-12-15,-118.0629879,34.04463741,6cdeb779-9f3f-4d3a-a22c-d32f97cd7e3e
29,Moderate,2020-12-15,-118.0629409,34.04464034,7f678341-57c9-416a-b449-d22f75afeead
30,Heavy,2020-12-15,-118.0626381,34.04464634,3390dcd6-ba00-4f22-8ff5-6b13b37c9cf7
31,Low,2020-12-17,-118.0625378,34.04453952,41e85f5f-fcf3-4423-8502-00190d02a93d
32,Low,2020-12-17,-118.062261,34.04459611,d423f46a-2db2-4b87-8117-3a2747dad4a2
33,Low,2020-12-17,-118.0622579,34.04463181,a38ca678-ac0a-4b1f-ba93-0a32c9d3d63d
34,Moderate,2020-12-17,-118.0620608,34.04459787,9fbf2f72-7cc8-4ca9-a1e6-e0993b2ccef4
35,Low,2020-12-17,-118.0620951,34.04471802,5e239afc-1056-4172-83e8-f4c0924de5f2
36,Moderate,2020-12-17,-118.0619805,34.04455702,5e121a49-21d0-4f55-b48d-f5492e45c3e7
37,Severe,2020-12-17,-118.0618615,34.04440816,7f973926-4b90-48c0-adf5-c38020d07e20
38,Low,2020-12-21,-118.0624287,34.04498108,75daeff8-6b1e-49f5-a564-ca7a468a6cab
39,Heavy,2020-12-21,-118.0620782,34.04435877,3fa2f63a-fc8c-4578-bd1a-c19a7f248a81
40,Low,2020-12-21,-118.0618812,34.04440627,76a4577a-e0da-478d-82d0-b5371e471ba7
41,Low,2020-12-21,-118.0618159,34.04446861,db8f76cc-0c6d-4472-b762-3d7cdfba2fca
42,Low,2020-12-21,-118.0617801,34.04449853,bdecc800-ade4-4725-a171-1b2fc1504b75
43,Low,2020-12-21,-118.0617076,34.04451218,4c463aa1-b7f4-4de6-8346-8fdf2435379e
44,Low,2020-12-21,-118.0615936,34.04447554,0e7ce3f3-ef58-45da-af8d-63d7e390994e
45,Moderate,2020-12-21,-118.0616335,34.04537658,aeb172ea-c833-4ac8-8d3a-c226235dd2f5
46,Low,2020-12-21,-118.0618718,34.04545429,8ddf01cb-d002-47fd-a2a3-fa69fe4c508e
47,Severe,2020-12-30,-118.1997458,34.10217512,b25457ca-2e5e-4faa-8b61-770adda15de0
48,Severe,2020-12-30,-118.1991448,34.10234513,34408a8c-73e3-46cc-bbb4-15855e05f6a4
49,Heavy,2021-01-04,-118.0623614,34.04272568,1238ef03-9922-4b6c-a8fb-9fdf67cedd14
50,Moderate,2021-01-04,-118.0623452,34.04243228,eeb7ce88-2413-4898-9e3b-65b319e6ffeb
51,Moderate,2021-01-04,-118.0622018,34.04249564,533e3d88-495b-44de-9ce4-8adff6c71abe
52,Moderate,2021-01-04,-118.062225,34.0426166,532e4ab6-5e2f-4551-8357-1da2595447d2
53,Heavy,2021-01-04,-118.0621165,34.04253548,8bd18bfe-f4b9-48fd-b61c-b9c9ed20b332
