,satelite_type,sensor_type,satelite_number,processing_correction_level,wrs_path,wrs_row,acquisition_date,processing_date,collection_number,collection_category,folder_name
0,L,C,09,L2SP,041,037,2022-03-11,2022-03-13,02,T1,LC09_L2SP_041037_20220311_20220313_02_T1
1,L,C,09,L2SP,042,036,2021-12-12,2022-01-20,02,T1,LC09_L2SP_042036_20211212_20220120_02_T1
2,L,C,09,L2SP,042,036,2021-12-28,2022-01-21,02,T1,LC09_L2SP_042036_20211228_20220121_02_T1
3,L,C,09,L2SP,042,036,2022-02-14,2022-02-16,02,T1,LC09_L2SP_042036_20220214_20220216_02_T1
4,L,C,09,L2SP,042,036,2022-03-02,2022-03-04,02,T1,LC09_L2SP_042036_20220302_20220304_02_T1
5,L,C,08,L2SP,042,036,2021-05-26,2021-05-29,02,T1,LC08_L2SP_042036_20210526_20210529_02_T1
6,L,C,08,L2SP,042,036,2021-06-11,2021-06-22,02,T1,LC08_L2SP_042036_20210611_20210622_02_T1
7,L,C,08,L2SP,042,036,2021-06-27,2021-07-07,02,T1,LC08_L2SP_042036_20210627_20210707_02_T1
8,L,C,08,L2SP,042,036,2021-07-29,2021-08-04,02,T1,LC08_L2SP_042036_20210729_20210804_02_T1
9,L,C,08,L2SP,042,036,2021-10-01,2021-10-13,02,T1,LC08_L2SP_042036_20211001_20211013_02_T1
10,L,C,08,L2SP,042,036,2021-10-17,2021-10-26,02,T1,LC08_L2SP_042036_20211017_20211026_02_T1
11,L,C,08,L2SP,042,036,2021-11-02,2021-11-09,02,T1,LC08_L2SP_042036_20211102_20211109_02_T1
12,L,C,08,L2SP,042,036,2022-01-05,2022-01-14,02,T1,LC08_L2SP_042036_20220105_20220114_02_T1
13,L,C,08,L2SP,042,036,2022-01-21,2022-01-28,02,T1,LC08_L2SP_042036_20220121_20220128_02_T1
14,L,C,08,L2SP,042,036,2022-02-06,2022-02-12,02,T1,LC08_L2SP_042036_20220206_20220212_02_T1
15,L,C,09,L2SP,040,036,2021-11-23,2022-01-20,02,T1,LC09_L2SP_040036_20211123_20220120_02_T1
16,L,C,09,L2SP,040,036,2022-02-16,2022-02-25,02,T1,LC09_L2SP_040036_20220216_20220225_02_T1
17,L,C,09,L2SP,040,037,2021-11-23,2022-01-20,02,T1,LC09_L2SP_040037_20211123_20220120_02_T1
18,L,C,09,L2SP,040,037,2021-12-14,2022-01-20,02,T2,LC09_L2SP_040037_20211214_20220120_02_T2
19,L,C,09,L2SP,040,037,2022-02-16,2022-02-25,02,T1,LC09_L2SP_040037_20220216_20220225_02_T1
20,L,C,09,L2SP,041,036,2021-12-05,2022-01-20,02,T1,LC09_L2SP_041036_20211205_20220120_02_T1
21,L,C,09,L2SP,041,036,2022-01-06,2022-01-22,02,T1,LC09_L2SP_041036_20220106_20220122_02_T1
